id,model,ticker,signal_date,entry_theory,entry_actual,slippage_pct,qty,kiwoom_buy_no,kiwoom_sell_no,tp1_pct,tp1_ratio,trail_pct,hard_stop_pct,tp1_date,tp1_price,watermark,exit_date,exit_price,exit_type,blended_return,status,created_at
54,compose-and1,018500.KS,2026-06-21,0.0,1474.0,,13568,0011251,,0.15,0.5,0.1,0.1,,,1516.0,,,,,open,2026-06-21 12:15:05.692926+00:00
55,compose-and1,028050.KS,2026-06-21,0.0,47900.0,,417,0011268,,0.15,0.5,0.1,0.1,,,49900.0,,,,,open,2026-06-21 12:15:06.064624+00:00
56,compose-and1,475150.KS,2026-06-21,0.0,43200.0,,462,0011287,,0.15,0.5,0.1,0.1,2026-07-15,53300.0,80600.0,2026-08-03,,buy_never_filled,,closed,2026-06-21 12:15:06.433031+00:00
32,compose-funnel1,000720.KS,2026-06-15,0.0,143300.0,,69,0039435,RECONCILED,0.15,0.5,0.1,0.1,,,148000.0,2026-08-06,128970.0,reconciled_hardstop,-0.1,closed,2026-06-14 16:34:45.173084+00:00
33,compose-funnel1,005950.KS,2026-06-15,0.0,16950.0,,589,0039448,0148284,0.15,0.5,0.1,0.1,,,16950.0,2026-06-16,14250.0,hard_stop,-0.1592920353982301,closed,2026-06-14 16:34:45.555526+00:00
34,compose-funnel1,012750.KS,2026-06-15,0.0,87300.0,,114,0039457,0158362,0.15,0.5,0.1,0.1,,,87300.0,2026-06-15,77200.0,hard_stop,-0.1156930126002291,closed,2026-06-14 16:34:45.925865+00:00
35,compose-funnel1,016450.KS,2026-06-15,0.0,4565.0,,2190,0012490,,0.15,0.5,0.1,0.1,,,4565.0,,,,,open,2026-06-14 16:34:46.295666+00:00
36,compose-funnel1,025890.KS,2026-06-15,0.0,2070.0,,4830,0039413,,0.15,0.5,0.1,0.1,2026-08-05,2385.0,2565.0,,,,,open,2026-06-14 16:34:46.665592+00:00
37,compose-funnel1,031430.KS,2026-06-15,0.0,15800.0,,632,0039424,0142435,0.15,0.5,0.1,0.1,,,15800.0,2026-06-19,13580.0,hard_stop,-0.14050632911392405,closed,2026-06-14 16:34:47.035344+00:00
38,compose-funnel1,042700.KS,2026-06-15,0.0,365000.0,,27,0040099,0148275,0.15,0.5,0.1,0.1,,,365000.0,2026-06-16,328500.0,hard_stop,-0.1,closed,2026-06-14 16:34:47.402987+00:00
39,compose-funnel1,057050.KS,2026-06-15,0.0,80200.0,,124,0039466,,0.15,0.5,0.1,0.1,,,87300.0,,,,,open,2026-06-14 16:34:47.771630+00:00
40,compose-funnel1,060980.KS,2026-06-15,0.0,45950.0,,217,0040121,RECONCILED,0.15,0.5,0.1,0.1,,,48700.0,2026-08-06,41355.0,reconciled_hardstop,-0.1,closed,2026-06-14 16:34:48.141338+00:00
41,compose-funnel1,092230.KS,2026-06-15,0.0,83900.0,,119,0039472,,0.15,0.5,0.1,0.1,,,87800.0,,,,,open,2026-06-14 16:34:48.510398+00:00
49,compose-funnel1,000240.KS,2026-06-21,0.0,24150.0,,414,0011150,,0.15,0.5,0.1,0.1,,,25600.0,2026-08-03,,buy_never_filled,,closed,2026-06-21 12:15:03.015901+00:00
50,compose-funnel1,000500.KS,2026-06-21,0.0,353500.0,,7,0011181,0158739,0.15,0.5,0.1,0.1,,,353500.0,2026-08-11,157200.0,reconciled_sold,-0.5553041018387553,closed,2026-06-21 12:15:03.393712+00:00
51,compose-funnel1,005680.KS,2026-06-21,0.0,,,,,,0.15,0.5,0.1,0.1,,,,2026-07-29,,invalid,,closed,2026-06-21 12:15:03.764047+00:00
52,compose-funnel1,005940.KS,2026-06-21,0.0,31600.0,,316,0011216,RECONCILED,0.15,0.5,0.1,0.1,,,31600.0,2026-08-06,28440.0,reconciled_hardstop,-0.1,closed,2026-06-21 12:15:04.134119+00:00
53,compose-funnel1,006340.KS,2026-06-21,0.0,10890.0,,918,0011232,0146149,0.15,0.5,0.1,0.1,2026-08-05,15460.0,15460.0,2026-08-10,14950.0,reconciled_qty_drift,0.39624,closed,2026-06-21 12:15:04.505389+00:00
67,compose-funnel1,001210.KS,2026-07-12,0.0,1300.0,,1538,0013641,,0.15,0.5,0.1,0.1,2026-08-05,3700.0,6890.0,,,,,open,2026-07-12 12:15:02.871044+00:00
68,compose-funnel1,001260.KS,2026-07-12,0.0,10520.0,,950,0013598,RECONCILED,0.15,0.5,0.1,0.1,,,10520.0,2026-08-06,9468.0,reconciled_hardstop,-0.1,closed,2026-07-12 12:15:03.278360+00:00
69,compose-funnel1,002990.KS,2026-07-12,0.0,13600.0,,735,0012372,0135073,0.15,0.5,0.1,0.1,,,13600.0,2026-07-16,10800.0,hard_stop,-0.20588235294117646,closed,2026-07-12 12:15:03.634755+00:00
70,compose-funnel1,003680.KS,2026-07-12,0.0,10590.0,,944,0013661,0168804,0.15,0.5,0.1,0.1,2026-07-15,14520.0,14520.0,2026-07-23,8180.0,hard_stop,0.07176581680830972,closed,2026-07-12 12:15:03.991908+00:00
71,compose-funnel1,004430.KS,2026-07-12,0.0,12040.0,,830,0012197,,0.15,0.5,0.1,0.1,,,12590.0,,,,,open,2026-07-12 12:15:04.346133+00:00
119,compose-funnel1,008470.KQ,2026-08-02,2060.0,2060.0,0.0,2334,,,0.15,0.5,0.1,0.1,,,2060.0,,,,,open,2026-08-13 11:56:13.128281+00:00
82,compose-funnel1,008470.KQ,2026-08-02,0.0,,,,,0013380,0.15,0.5,0.1,0.1,,,,2026-08-06,0.0,reconciled_no_data,,closed,2026-08-02 12:15:06.777958+00:00
83,compose-funnel1,017650.KQ,2026-08-02,0.0,,,,,0148588,0.15,0.5,0.1,0.1,,,,2026-08-11,0.0,reconciled_sold,,closed,2026-08-02 12:15:07.152986+00:00
84,compose-funnel1,028670.KS,2026-08-02,0.0,,,,,0148591,0.15,0.5,0.1,0.1,,,,2026-08-11,0.0,reconciled_sold,,closed,2026-08-02 12:15:07.507958+00:00
85,compose-funnel1,033050.KQ,2026-08-02,0.0,,,,,,0.15,0.5,0.1,0.1,,,,,,,,pending,2026-08-02 12:15:07.863949+00:00
86,compose-funnel1,052460.KQ,2026-08-02,0.0,,,,,0148592,0.15,0.5,0.1,0.1,,,,2026-08-11,0.0,reconciled_sold,,closed,2026-08-02 12:15:08.220532+00:00
